"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","2200uF","~","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","1",""
"C2,C3","47uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2",""
"J1","XT60","~","Connector_AMASS:AMASS_XT60-M_1x02_P7.20mm_Vertical","1",""
"J2,J4,J5","MOLEX","~","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","3",""
"J3","Molex","~","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","1",""
"Q1,Q5,Q10,Q11,Q13","2N3904","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Package_TO_SOT_THT:TO-92_Inline","5",""
"Q2,Q3,Q6,Q7,Q9,Q12,Q15,Q16","IRF9540N","http://www.irf.com/product-info/datasheets/data/irf9540n.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","8",""
"Q4,Q8,Q14","IRF540N","http://www.irf.com/product-info/datasheets/data/irf540n.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","3",""
"R1,R2,R3,R7,R9,R11,R15,R19,R24,R28","100","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","10",""
"R4","47k","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","1",""
"R5,R6,R10,R13,R14,R21,R26,R29","5.6k","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","8",""
"R8","180","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","1",""
"R12,R23","10k","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","2",""
"R16,R20,R25","560","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","3",""
"R17,R18","20k","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","2",""
"R22,RV1","1k","~","-- mixed values --","2",""
"R27","2.2k","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","1",""
"RV2,RV3,RV4","R_Potentiometer_Trim","~","Potentiometer_THT:Potentiometer_Runtron_RM-065_Vertical","3",""
"SW1","SW_SPDT","~","Toggle:SW_Toggle_Blue_wSlots","1",""
"U1","ESP32-S3-DevKitC","","PCM_Espressif:ESP32-S3-DevKitC","1",""
"U2,U3","LM7805_TO220","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","Package_TO_SOT_THT:TO-220-3_Vertical","2",""
"U4,U5,U6,U7,U8,U9,U10,U12,U14,U15","PC817","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf","Package_DIP:DIP-4_W7.62mm","10",""
"U11","LM324","http://www.ti.com/lit/ds/symlink/lm2902-n.pdf","Package_DIP:DIP-14_W7.62mm_LongPads","1",""
"U13","LM35-NEB","http://www.ti.com/lit/ds/symlink/lm35.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
